University of Stuttgart - IFT;time [s];force unfiltered [kN];force filtered [kN];drop no.;displacement [mm]
;0,23900;0,05300;0,00600;0;0
;0,24000;0,04800;0,00700;0;0
;0,24000;0,00900;0,00900;0;0
;0,24100;0,06400;0,01100;0;0
;0,24100;-0,02400;0,01200;0;0
;0,24200;0,03100;0,01400;0;0
;0,24200;-0,06800;0,01600;0;0
;0,24300;0,01400;0,01800;0;0
;0,24300;-0,02700;0,01900;0;0
;0,24400;0,03100;0,01900;0;0
;0,24400;0,01300;0,02000;0;0
;0,24500;0,09600;0,02000;0;0
;0,24500;0,02900;0,02000;0;0
;0,24600;0,07300;0,02000;0;0
;0,24600;-0,00400;0,02000;0;0
;0,24700;0,02300;0,02000;0;0
;0,24700;0,02700;0,02100;0;0
;0,24800;0,09000;0,02100;0;0
;0,24800;-0,02200;0,02200;0;0
;0,24900;0,04800;0,02200;0;0
;0,24900;-0,01100;0,02300;0;0
;0,25000;0,04000;0,02400;0;0
;0,25000;-0,04300;0,02400;0;0
;0,25100;0,02400;0,02500;0;0
;0,25100;0,02600;0,02500;0;0
;0,25200;0,03900;0,02500;0;0
;0,25200;-0,00400;0,02500;0;0
;0,25300;0,03900;0,02500;0;0
;0,25300;0,01100;0,02400;0;0
;0,25400;0,00300;0,02400;0;0
;0,25400;0,03200;0,02400;0;0
;0,25500;0,05100;0,02300;0;0
;0,25500;-0,03800;0,02300;0;0
;0,25600;0,03100;0,02200;0;0
;0,25600;0,02900;0,02200;0;0
;0,25700;0,06000;0,02100;0;0
;0,25700;0,00300;0,02100;0;0
;0,25800;0,06900;0,02000;0;0
;0,25800;-0,03900;0,02000;0;0
;0,25900;0,03900;0,02000;0;0
;0,25900;-0,00800;0,02000;0;0
;0,26000;0,03300;0,02000;0;0
;0,26000;0,02600;0,02000;0;0
;0,26100;0,03500;0,02000;0;0
;0,26100;-0,01500;0,02000;0;0
;0,26200;0,03100;0,02000;0;0
;0,26200;-0,02900;0,02000;0;0
;0,26300;0,03600;0,02000;0;0
;0,26300;0,00300;0,01900;0;0
;0,26400;0,03200;0,01900;0;0
;0,26400;0,00000;0,01900;0;0
;0,26500;0,04700;0,01800;0;0
;0,26500;0,03500;0,01800;0;0
;0,26600;0,01500;0,01800;0;0
;0,26600;-0,01000;0,01800;0;0
;0,26700;-0,01600;0,01700;0;0
;0,26700;0,03500;0,01700;0;0
;0,26800;0,04200;0,01700;0;0
;0,26800;-0,02600;0,01700;0;0
;0,26900;0,05300;0,01700;0;0
;0,26900;-0,03500;0,01600;0;0
;0,27000;0,02600;0,01600;0;0
;0,27000;-0,02800;0,01600;0;0
;0,27100;-0,02400;0,01500;0;0
;0,27100;0,00900;0,01500;0;0
;0,27200;0,04200;0,01400;0;0
;0,27200;-0,02900;0,01300;0;0
;0,27300;-0,02500;0,01200;0;0
;0,27300;-0,00800;0,01100;0;0
;0,27400;-0,05200;0,01000;0;0
;0,27400;-0,01100;0,00900;0;0
;0,27500;-0,01200;0,00700;0;0
;0,27500;-0,06500;0,00600;0;0
;0,27600;0,02000;0,00400;0;0
;0,27600;0,04600;0,00200;0;0
;0,27700;0,02300;0,00000;0;0
;0,27700;-0,04900;-0,00200;0;0
;0,27800;-0,00400;-0,00400;0;0
;0,27800;-0,06000;-0,00500;0;0
;0,27900;0,01900;-0,00600;0;0
;0,27900;0,02600;-0,00700;0;0
;0,28000;-0,02000;-0,00800;0;0
;0,28000;-0,02200;-0,00900;0;0
;0,28100;-0,05800;-0,01000;0;0
;0,28100;-0,03600;-0,01100;0;0
;0,28200;-0,05500;-0,01100;0;0
;0,28200;-0,03700;-0,01200;0;0
;0,28300;-0,01400;-0,01300;0;0
;0,28300;-0,00500;-0,01400;0;0
;0,28400;0,00900;-0,01600;0;0
;0,28400;-0,04300;-0,01700;0;0
;0,28500;-0,00600;-0,01800;0;0
;0,28500;-0,05600;-0,01800;0;0
;0,28600;-0,02200;-0,01900;0;0
;0,28600;-0,01600;-0,02000;0;0
;0,28700;0,00600;-0,02100;0;0
;0,28700;-0,03300;-0,02200;0;0
;0,28800;-0,07000;-0,02200;0;0
;0,28800;-0,01100;-0,02300;0;0
;0,28900;-0,06700;-0,02300;0;0
;0,28900;-0,04000;-0,02400;0;0
;0,29000;-0,07900;-0,02400;0;0
;0,29000;-0,00300;-0,02500;0;0
;0,29100;-0,02700;-0,02600;0;0
;0,29100;-0,02200;-0,02700;0;0
;0,29200;-0,08600;-0,02800;0;0
;0,29200;-0,01200;-0,02900;0;0
;0,29300;-0,01900;-0,03000;0;0
;0,29300;-0,00800;-0,03100;0;0
;0,29400;-0,07300;-0,03200;0;0
;0,29400;-0,06800;-0,03300;0;0
;0,29500;-0,01600;-0,03400;0;0
;0,29500;0,01100;-0,03400;0;0
;0,29600;-0,04200;-0,03500;0;0
;0,29600;-0,03100;-0,03500;0;0
;0,29700;-0,08100;-0,03600;0;0
;0,29700;0,01200;-0,03600;0;0
;0,29800;-0,01700;-0,03600;0;0
;0,29800;-0,00600;-0,03600;0;0
;0,29900;-0,02700;-0,03600;0;0
;0,29900;-0,02300;-0,03600;0;0
;0,30000;0,00700;-0,03500;0;0
;0,30000;-0,02600;-0,03400;0;0
;0,30100;-0,02500;-0,03300;0;0
;0,30100;0,01900;-0,03200;0;0
;0,30200;-0,03200;-0,03100;0;0
;0,30200;0,01600;-0,03000;0;0
;0,30300;-0,03100;-0,02800;0;0
;0,30300;0,02600;-0,02700;0;0
;0,30400;-0,05200;-0,02500;0;0
;0,30400;0,01400;-0,02300;0;0
;0,30500;-0,03100;-0,02200;0;0
;0,30500;0,00600;-0,02000;0;0
;0,30600;-0,03000;-0,01900;0;0
;0,30600;0,03100;-0,01700;0;0
;0,30700;-0,01300;-0,01600;0;0
;0,30700;-0,01500;-0,01400;0;0
;0,30800;-0,04300;-0,01300;0;0
;0,30800;0,02300;-0,01200;0;0
;0,30900;-0,02800;-0,01100;0;0
;0,30900;0,03300;-0,01000;0;0
;0,31000;0,06200;-0,00900;0;0
;0,31000;0,07000;-0,00800;0;0
;0,31100;-0,03200;-0,00700;0;0
;0,31100;-0,05200;-0,00600;0;0
;0,31200;0,00900;-0,00500;0;0
;0,31200;-0,01300;-0,00300;0;0
;0,31300;-0,03300;-0,00200;0;0
;0,31300;0,01500;-0,00100;0;0
;0,31400;0,02800;0,00000;0;0
;0,31400;0,02400;0,00000;0;0
;0,31500;0,02100;0,00100;0;0
;0,31500;0,02500;0,00200;0;0
;0,31600;0,02700;0,00200;0;0
;0,31600;0,01700;0,00300;0;0
;0,31700;-0,02700;0,00400;0;0
;0,31700;0,04900;0,00500;0;0
;0,31800;-0,02400;0,00600;0;0
;0,31800;0,03800;0,00700;0;0
;0,31900;0,02300;0,00700;0;0
;0,31900;0,01700;0,00800;0;0
;0,32000;-0,00600;0,00900;0;0
;0,32000;0,04000;0,01000;0;0
;0,32100;-0,02500;0,01100;0;0
;0,32100;0,06200;0,01100;0;0
;0,32200;-0,03300;0,01200;0;0
;0,32200;0,06500;0,01300;0;0
;0,32300;0,03500;0,01300;0;0
;0,32300;0,07700;0,01400;0;0
;0,32400;0,00800;0,01500;0;0
;0,32400;0,04000;0,01500;0;0
;0,32500;0,00500;0,01700;0;0
